Final_Name,Alt_Name,Inst_final,z,z_src,CIV_blue_tvm,CIV_EW_tvm,_RA,_DE,Sul_Name,SDSS_NAME,PLATE,MJD,FIBERID,F1450_spec (erg/s/cm2/A),S2N_1450A,CIVgood_manmask,F1550_sul07,c1_2_sul07,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,MBH_source_qual,logEddRatio,EddRatio_Source,EddRatio_Source_qual,LBol,LBol Source,LBol_Source_qual,logLEdd,logLEdd_Source,logLEdd_Source_qual,F2500 (ergs/s/cm2/A),F2500_change,logLbol_2500 (erg/s),logLedd (erg/s),logEddRatio_2500,CIV_Distance,Spec_Name
NGC 4395,UGCÂ 7524,STIS,8.0E-4,Sul,-355.280481193698,135.732586313662,186.453841666667,33.54675,J12258+3332,,,,,7.56354509648007E-16,5.34543119690675,0,0.24,176.0,5.449,0.13,0.145,Bentz & Katz 2015,1.0,-1.95,BASS-DR2 (Koss+2022),,41.68,BASS-DR2 (Koss+2022),,,,,5.59091599110214E-16,5.59091599110214E-16,39.8298421835061,43.5493705451176,-3.71952836161146,0.218016323992075,NGC4395
NGC 5548,Mrk 1509,FOS,0.0168,Sul,335.512559052064,638.15323270176,214.497970833333,25.1367916666667,J14179+2508,,,,,7.65783350420626E-15,6.72628939332294,1,3.0,309.0,7.691784719,0.01583586519,0.01610130552,Bentz & Katz 2015,1.0,-1.37,BASS-DR2 (Koss+2022),,44.52,BASS-DR2 (Koss+2022),,,,,5.99337506430384E-15,8.51E-15,43.6170875187222,45.7921552641176,-2.17506774539535,0.0,NGC5548
NGC 7469,Mrk 1514,FOS,0.016,Sul,-147.881870046715,99.0418475890438,345.815308333333,8.87368888888889,J23032+0852,,,,,3.12059410874766E-14,21.4604537731972,1,5.12,104.0,7.09,0.06,0.06,Peterson+2004,1.0,,,,,,,,,,2.30795496558896E-14,2.30795496558896E-14,44.0023668864656,45.1903705451176,-1.18800365865192,0.299970895695512,NGC7469
NGC 863,MrkÂ 590,HSLA,0.026385,NED,-217.001832872948,336.613585658053,33.6399,-0.766744,,,,,,2.12889322270041E-15,19.1573732454788,1,,,7.57,0.062,0.074,Bentz & Katz 2015,1.0,-1.51,BASS-DR2 (Koss+2022),,44.24,BASS-DR2 (Koss+2022),,,,,1.74446299134316E-15,1.74446299134316E-15,43.3309635077219,45.6703705451176,-2.33940703739571,0.0,NGC-863
NGC 985,Mrk 1048,HSLA,0.04271,NED,59.3812117613829,63.6017639788087,38.6578,-8.78806,,,,,,3.66088729587141E-14,40.352121880587,1,,,8.4,0.0,0.0,Giustini & Proga 2019,2.0,-1.301029996,Giustini & Proga 2019,,44.97,BASS-DR2 (Koss+2022),,,,,2.3194763835177E-14,2.3194763835177E-14,44.8631443635223,46.5003705451176,-1.6372261815953,0.414986199073089,NGC-985
PB 7192,PKS 2243-123,FOS,0.6255,Sul,-355.280481193698,47.6629999847098,341.5759875,-12.1142477777778,J22463-1206,,,,,3.23140574050247E-15,14.3084704481948,1,1.54,451.0,8.41,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,1.79593451569731E-15,1.79593451569731E-15,46.3198605360359,46.5103705451176,-0.190510009081628,0.460559711477788,J22463-1206
PDS 456,IRAS 17254-1413,HSLA,0.185,https://arxiv.org/pdf/1710.10703.pdf,4651.15393551384,15.8311574946139,262.082,-14.2656,,,,,,4.83105958856002E-15,14.1754994307525,1,,,9.0,0.0,0.0,Giustini & Proga 2019,2.0,-0.09691001301,Giustini & Proga 2019,,,,,,,,2.55492829039129E-15,2.55492829039129E-15,45.2546751307312,47.1003705451176,-1.84569541438632,1.17927787604795,PDS456
PG 0026+129,2E 93,FOS,0.1451,Sul,-78.7812685546023,22.8021748367098,7.30709166666667,13.2677458333333,J00292+1316,,,,,1.16651147387527E-14,10.536237967863,1,2.82,-501.0,8.487,0.096,-0.119,Bentz & Katz 2015,1.0,-0.98,BASS-DR2 (Koss+2022),,45.68,BASS-DR2 (Koss+2022),,,,,6.78406224884448E-15,7.3E-15,45.4754504182969,46.5873705451176,-1.11192012682062,0.580590781654663,PG0026+129
PG 0044+030,PHL 828,FOS,0.6231,Sul,611.392208999139,71.7188178637169,11.774625,3.33194444444444,J00470+0319,,,,,2.44111105398527E-15,8.27656368794573,1,1.09,-750.0,9.07,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,1.46003952885376E-15,1.46003952885376E-15,46.2271045838507,47.1703705451176,-0.943265961266853,0.385036308471505,PG0044+030
PG 0052+251,1ES 0052+25.1,FOS,0.1543,Sul,335.512559052064,105.148633362236,13.7172119444444,25.4274838888889,J00548+2525,,,,,1.31651693418399E-14,8.93667539192189,1,2.11,-800.0,8.462,0.083,0.094,Bentz & Katz 2015,1.0,-0.87,BASS-DR2 (Koss+2022),,45.77,BASS-DR2 (Koss+2022),,,,,7.49755384362458E-15,7.49755384362458E-15,45.5445262095543,46.5623705451176,-1.01784433556327,0.285467940074688,PG0052+251
